url,name,price,value
https://eda.yandex.ru/retail/lenta/product/90bf2d04-7529-4986-be8c-96082bc236e5?placeSlug=giper_gwhxm,Сливки стерилизованные ЛЕНТА 10% без змж,128RUB,500г
https://eda.yandex.ru/retail/lenta/product/0103e8af-917d-42ab-afd0-287daed875d2?placeSlug=giper_gwhxm,Сливки Петмол для взбивания ультрапастеризованные 33%,360RUB,500мл
https://eda.yandex.ru/retail/lenta/product/000b4af3-4394-4fbb-95cb-092657e3ae0c?placeSlug=giper_gwhxm,Сливки Петмол для взбивания 33%,484RUB,1л
https://eda.yandex.ru/retail/lenta/product/d4354e10-a3da-4b71-b90b-a0ab3d1a6042?placeSlug=giper_gwhxm,Сливки Село Зелёное 10%,117RUB,500мл
https://eda.yandex.ru/retail/lenta/product/2a4ce63c-36f7-4d74-a14a-a6986815af2f?placeSlug=giper_gwhxm,Кефир Простоквашино 2.5%,83RUB,930мл
https://eda.yandex.ru/retail/lenta/product/f5efbe47-ec64-4e58-b8d7-26f457bc73b7?placeSlug=giper_gwhxm,Кефир Простоквашино 32%,94RUB,930мл
https://eda.yandex.ru/retail/lenta/product/11067895-bd75-44f0-8281-f0f8c6b4b646?placeSlug=giper_gwhxm,Кефир Простоквашино 1%,88RUB,930мл
https://eda.yandex.ru/retail/lenta/product/88381214-de39-4bd6-9bef-4b674ae9a389?placeSlug=giper_gwhxm,Биопродукт кефирный Bio Баланс Classic Fit 1%,118RUB,930мл
https://eda.yandex.ru/retail/lenta/product/6854f877-d32e-486d-850a-4e5d04360714?placeSlug=giper_gwhxm,Кефир Домик в деревне BIO-кефирный 1% 900,84RUB,900мл
https://eda.yandex.ru/retail/lenta/product/1e51fcb0-26cc-491a-8af2-484e88041155?placeSlug=giper_gwhxm,Кефир Лента 1% без змж 850г,72RUB,850мл
https://eda.yandex.ru/retail/lenta/product/4434519f-0503-4caa-8757-4e950b92a448?placeSlug=giper_gwhxm,Кефир ЛЕНТА 25% без змж,73RUB,850мл
https://eda.yandex.ru/retail/lenta/product/c3dd1a86-e49f-4c2d-9cc6-1ee679859128?placeSlug=giper_gwhxm,Кефир Молочная сказка 2.5% 850г,60RUB,850мл
https://eda.yandex.ru/retail/lenta/product/3902301d-058d-4f33-9f71-7ac9b8367c90?placeSlug=giper_gwhxm,Кефир Томское молоко 2.5%,40RUB,500мл
https://eda.yandex.ru/retail/lenta/product/5e7ef0ac-639b-4b3a-9390-24a95f2995f2?placeSlug=giper_gwhxm,Кефир Томское молоко обогащенный бифидобактериями 2.5%,71RUB,500мл
https://eda.yandex.ru/retail/lenta/product/51634c5a-5824-4294-a350-55d944b751f0?placeSlug=giper_gwhxm,Коктейль молочный Чудо шоколад 3% 200г,41RUB,200мл
https://eda.yandex.ru/retail/lenta/product/cbfdf6f7-e39f-426e-9b73-e833bc219879?placeSlug=giper_gwhxm,Коктейль молочный Чудо со вкусом шоколад 2% 960г,156RUB,960мл
https://eda.yandex.ru/retail/lenta/product/003f1857-7187-404e-bcff-355994727a1a?placeSlug=giper_gwhxm,Коктейль молочный Чудо со вкусом клубника 2% 960г,156RUB,960мл
https://eda.yandex.ru/retail/lenta/product/0a3e24e5-8d51-4bc5-92b3-de1c35675513?placeSlug=giper_gwhxm,Коктейль молочный Ehrmann Grand Cocktail Соленая карамель 4 %,84RUB,260мл
https://eda.yandex.ru/retail/lenta/product/86d3f965-792f-4b18-94f7-8df17cf49400?placeSlug=giper_gwhxm,Коктейль молочный Чудо со вкусом клубника 2% 200г,44RUB,200мл
